sample_name,neighbours_count,vertex_betweenness,time_s
837:13-03-2021:1,7,0.0,0.0023627281188964844
568:29-06-2020:0,31,0.0,0.0033216476440429688
495:09-09-2020:0,24,0.0,0.002824544906616211
954:08-06-2021:1,10,0.0,0.0023577213287353516
819:23-06-2021:1,8,0.0,0.002263307571411133
306:11-10-2020:0,18,0.0,0.0025086402893066406
617:11-02-2021:0,2,0.5,0.002210855484008789
939:14-05-2021:1,2,0.5,0.002142190933227539
740:28-05-2021:0,5,0.5,0.002183198928833008
542:12-05-2021:0,29,0.0,0.0031027793884277344
896:01-01-2021:1,78,0.0,0.011930704116821289
549:19-12-2020:0,8,0.0,0.0023741722106933594
532:06-04-2021:0,11,0.0,0.0023887157440185547
457:21-12-2020:0,27,0.5,0.00295257568359375
262:26-10-2020:0,15,0.5,0.002476930618286133
725:25-05-2020:0,7,0.5,0.002421140670776367
158:16-06-2021:0,7,0.0,0.002237558364868164
193:10-09-2020:0,2,0.5,0.002193927764892578
75:04-07-2020:0,50,0.0,0.0054473876953125
645:20-08-2020:0,24,0.0,0.0029642581939697266
834:19-04-2021:1,5,0.5,0.0022211074829101562
465:07-06-2021:0,29,0.0,0.003204345703125
735:23-09-2020:0,30,0.0,0.0033669471740722656
214:08-07-2020:0,30,0.0,0.003277301788330078
227:24-04-2021:0,0,0.5,0.0021371841430664062
493:15-05-2020:0,4,0.5,0.002229928970336914
586:17-03-2020:0,15,0.0,0.002470731735229492
219:15-09-2020:0,32,0.0,0.0059413909912109375
427:22-06-2021:0,0,0.5,0.002246856689453125
767:16-06-2021:1,5,0.5,0.0022017955780029297
826:27-05-2021:1,15,0.5,0.0024695396423339844
110:24-03-2021:0,12,0.0,0.0023522377014160156
469:24-09-2020:0,9,0.5,0.0023224353790283203
133:23-04-2021:0,14,0.5,0.0023903846740722656
260:15-02-2021:0,17,0.0,0.002522706985473633
895:23-03-2021:1,8,0.5,0.0022945404052734375
96:14-05-2021:0,29,0.0,0.0031414031982421875
800:11-01-2021:1,78,0.0,0.012458562850952148
854:19-05-2021:1,21,0.0,0.002831697463989258
